5.00,0.25,0.25,9.00,9.00
5.00,0.25,0.25,9.00,9.00
5.00,0.25,0.25,9.01,9.01
5.01,0.23,0.23,9.00,9.00
5.04,0.20,0.20,9.01,9.01
5.07,0.16,0.15,9.00,8.99
5.09,0.13,0.13,8.99,8.99
5.12,0.10,0.09,8.98,8.97
5.15,0.06,0.06,8.96,8.95
5.18,0.05,0.05,8.96,8.95
5.20,0.01,0.01,8.92,8.91
5.23,0.01,0.00,8.92,8.91
5.26,-0.01,-0.02,8.90,8.88
5.29,-0.04,-0.03,8.86,8.86
5.32,-0.03,-0.05,8.86,8.84
5.34,-0.06,-0.06,8.83,8.81
5.37,-0.07,-0.07,8.80,8.79
5.40,-0.07,-0.08,8.78,8.76
5.43,-0.07,-0.08,8.76,8.75
5.46,-0.11,-0.11,8.71,8.69
5.49,-0.10,-0.09,8.70,8.69
5.52,-0.10,-0.11,8.68,8.65
5.55,-0.11,-0.11,8.64,8.62
5.58,-0.12,-0.11,8.61,8.60
5.61,-0.13,-0.13,8.58,8.56
5.64,-0.11,-0.11,8.57,8.55
5.66,-0.15,-0.15,8.51,8.49
5.69,-0.14,-0.12,8.48,8.49
5.72,-0.12,-0.13,8.47,8.45
5.75,-0.15,-0.14,8.42,8.41
5.78,-0.13,-0.14,8.41,8.38
5.81,-0.15,-0.14,8.36,8.35
5.84,-0.14,-0.15,8.34,8.32
5.87,-0.15,-0.14,8.30,8.30
5.90,-0.14,-0.14,8.29,8.27
5.93,-0.16,-0.17,8.23,8.21
5.96,-0.15,-0.14,8.20,8.21
5.99,-0.14,-0.15,8.19,8.16
6.01,-0.17,-0.17,8.13,8.11
6.04,-0.14,-0.14,8.13,8.12
6.07,-0.15,-0.15,8.08,8.07
6.10,-0.14,-0.14,8.06,8.05
6.13,-0.17,-0.18,8.00,7.98
6.16,-0.15,-0.14,7.98,7.99
6.19,-0.14,-0.15,7.97,7.94
6.22,-0.17,-0.15,7.91,7.91
6.25,-0.15,-0.16,7.90,7.87
6.28,-0.15,-0.15,7.86,7.85
6.30,-0.15,-0.15,7.83,7.82
6.33,-0.16,-0.16,7.79,7.78
6.36,-0.14,-0.14,7.78,7.77
6.39,-0.18,-0.17,7.71,7.71
6.42,-0.15,-0.15,7.70,7.70
6.45,-0.14,-0.15,7.68,7.66
6.48,-0.18,-0.18,7.61,7.60
6.51,-0.14,-0.14,7.62,7.61
6.54,-0.16,-0.15,7.57,7.56
6.57,-0.15,-0.15,7.54,7.53
6.60,-0.16,-0.16,7.50,7.49
6.63,-0.15,-0.14,7.48,7.48
6.65,-0.15,-0.17,7.45,7.42
6.68,-0.15,-0.14,7.41,7.42
6.71,-0.15,-0.15,7.39,7.37
6.74,-0.15,-0.15,7.35,7.35
6.77,-0.15,-0.15,7.32,7.31
6.80,-0.15,-0.15,7.29,7.28
6.83,-0.14,-0.14,7.27,7.27
6.86,-0.17,-0.16,7.21,7.21
6.89,-0.15,-0.14,7.19,7.20
6.92,-0.14,-0.15,7.18,7.17
6.95,-0.16,-0.16,7.12,7.12
6.98,-0.14,-0.14,7.12,7.12
7.00,-0.15,-0.15,7.07,7.07
7.03,-0.15,-0.15,7.05,7.04
7.06,-0.15,-0.15,7.01,7.01
7.09,-0.15,-0.14,6.99,7.00
7.12,-0.15,-0.16,6.95,6.95
7.15,-0.15,-0.14,6.92,6.94
7.18,-0.14,-0.15,6.91,6.89
7.21,-0.16,-0.16,6.85,6.85
7.24,-0.14,-0.14,6.85,6.85
7.27,-0.15,-0.15,6.80,6.80
7.30,-0.13,-0.13,6.80,6.80
7.32,-0.16,-0.16,6.73,6.74
7.35,-0.15,-0.13,6.71,6.74
7.38,-0.13,-0.15,6.71,6.69
7.41,-0.16,-0.16,6.64,6.65
7.44,-0.14,-0.13,6.64,6.65
7.47,-0.14,-0.14,6.60,6.61
7.50,-0.14,-0.14,6.57,6.58
7.53,-0.14,-0.14,6.54,6.55
7.56,-0.15,-0.13,6.51,6.54
7.59,-0.14,-0.15,6.49,6.48
7.62,-0.14,-0.13,6.46,6.48
7.65,-0.13,-0.14,6.44,6.44
7.67,-0.16,-0.15,6.38,6.40
7.70,-0.13,-0.13,6.38,6.39
7.73,-0.14,-0.14,6.35,6.36
7.76,-0.14,-0.14,6.31,6.33
7.79,-0.14,-0.14,6.29,6.30
7.82,-0.14,-0.12,6.26,6.29
7.85,-0.14,-0.15,6.24,6.24
7.88,-0.14,-0.14,6.21,6.22
7.91,-0.12,-0.12,6.19,6.21
7.94,-0.14,-0.14,6.15,6.17
7.97,-0.14,-0.13,6.13,6.15
7.99,-0.14,-0.14,6.10,6.11
8.02,-0.14,-0.12,6.07,6.11
8.05,-0.14,-0.15,6.04,6.05
8.08,-0.13,-0.12,6.02,6.05
8.11,-0.12,-0.13,6.00,6.01
8.14,-0.15,-0.14,5.95,5.98
8.17,-0.12,-0.12,5.95,5.97
8.20,-0.13,-0.13,5.91,5.93
8.23,-0.13,-0.13,5.89,5.91
8.26,-0.13,-0.13,5.86,5.89
8.29,-0.13,-0.12,5.83,5.87
